rid, runtime, starttime, endtime, data, bandwidth;
0, 0.6225, 25.0137, 25.6362, 20772020, 266.949654618;
1, 0.0259, 25.8029, 25.8288, 20772020, 6416.06795367;
10, 0.0242, 27.7727, 27.7969, 20772020, 6866.78347107;
11, 0.024, 27.9907, 28.0147, 20772020, 6924.00666667;
12, 0.025, 28.2062, 28.2312, 20772020, 6647.0464;
13, 0.0247, 28.4274, 28.4521, 20772020, 6727.77975708;
14, 0.0223, 28.6458, 28.6681, 20772020, 7451.84573991;
15, 0.0243, 28.8671, 28.8914, 20772020, 6838.52510288;
16, 0.0283, 29.0858, 29.1141, 20772020, 5871.94911661;
17, 0.0285, 29.3062, 29.3347, 20772020, 5830.74245614;
18, 0.0233, 29.5245, 29.5478, 20772020, 7132.02403434;
19, 0.0239, 29.7443, 29.7682, 20772020, 6952.97740586;
2, 0.0247, 26.0217, 26.0464, 20772020, 6727.77975709;
3, 0.0248, 26.2437, 26.2685, 20772020, 6700.6516129;
4, 0.0237, 26.4608, 26.4845, 20772020, 7011.65232067;
5, 0.0244, 26.682, 26.7064, 20772020, 6810.49836066;
6, 0.0239, 26.8993, 26.9232, 20772020, 6952.97740586;
7, 0.0236, 27.12, 27.1436, 20772020, 7041.36271186;
8, 0.0248, 27.3355, 27.3603, 20772020, 6700.6516129;
9, 0.0241, 27.5557, 27.5798, 20772020, 6895.27634855;
