rid, runtime, starttime, endtime, data, bandwidth;
0, 0.6327, 31.468, 32.1007, 20770820, 262.630883515;
1, 0.0541, 32.4771, 32.5312, 20770820, 3071.47060998;
10, 0.0432, 36.2171, 36.2603, 20770820, 3846.44814815;
11, 0.0449, 36.6331, 36.678, 20770820, 3700.8142539;
12, 0.0447, 37.0547, 37.0994, 20770820, 3717.37270693;
13, 0.0441, 37.4623, 37.5064, 20770820, 3767.94920635;
14, 0.0486, 37.8775, 37.9261, 20770820, 3419.06502058;
15, 0.0444, 38.2852, 38.3296, 20770820, 3742.49009009;
16, 0.0424, 38.7021, 38.7445, 20770820, 3919.02264151;
17, 0.0412, 39.123, 39.1642, 20770820, 4033.16893204;
18, 0.0465, 39.5387, 39.5852, 20770820, 3573.4744086;
19, 0.0477, 39.9531, 40.0008, 20770820, 3483.57568134;
2, 0.0472, 32.893, 32.9402, 20770820, 3520.4779661;
3, 0.0492, 33.3122, 33.3614, 20770820, 3377.36910569;
4, 0.0444, 33.7245, 33.7689, 20770820, 3742.49009009;
5, 0.0459, 34.1391, 34.185, 20770820, 3620.18649237;
6, 0.0463, 34.5546, 34.6009, 20770820, 3588.91058315;
7, 0.0459, 34.9695, 35.0154, 20770820, 3620.18649237;
8, 0.0479, 35.3868, 35.4347, 20770820, 3469.03048017;
9, 0.0427, 35.7978, 35.8405, 20770820, 3891.48852459;
