rid, runtime, starttime, endtime, data, bandwidth;
0, 1.2364, 28.6868, 29.9232, 20772020, 134.403235199;
1, 0.0313, 30.2059, 30.2372, 20772020, 5309.14249201;
10, 0.0321, 34.2211, 34.2532, 20772020, 5176.82741433;
11, 0.0323, 34.6597, 34.692, 20772020, 5144.77275542;
12, 0.0309, 35.0955, 35.1264, 20772020, 5377.86925566;
13, 0.0293, 35.538, 35.5673, 20772020, 5671.54129693;
14, 0.0301, 35.9814, 36.0115, 20772020, 5520.80265781;
15, 0.0292, 36.4239, 36.4531, 20772020, 5690.96438356;
16, 0.0293, 36.8742, 36.9035, 20772020, 5671.54129693;
17, 0.0313, 37.317, 37.3483, 20772020, 5309.14249201;
18, 0.0299, 37.7674, 37.7973, 20772020, 5557.73110368;
19, 0.032, 38.2122, 38.2442, 20772020, 5193.005;
2, 0.0309, 30.6492, 30.6801, 20772020, 5377.86925566;
3, 0.0299, 31.0883, 31.1182, 20772020, 5557.73110368;
4, 0.0311, 31.5439, 31.575, 20772020, 5343.28488746;
5, 0.0318, 31.9807, 32.0125, 20772020, 5225.6654088;
6, 0.0296, 32.4257, 32.4553, 20772020, 5614.05945946;
7, 0.0319, 32.8799, 32.9118, 20772020, 5209.28401254;
8, 0.0299, 33.3308, 33.3607, 20772020, 5557.73110368;
9, 0.0299, 33.7729, 33.8028, 20772020, 5557.73110368;
