rid, runtime, starttime, endtime, data, bandwidth;
0, 3.21, 1551.82, 1555.03, 20741200, 51.6914641745;
1, 0.62, 1555.24, 1555.86, 20741200, 267.628387097;
10, 0.41, 1563.61, 1564.02, 20741200, 404.706341463;
11, 0.25, 1564.54, 1564.79, 20741200, 663.7184;
12, 0.24, 1565.47, 1565.71, 20741200, 691.373333333;
13, 0.25, 1566.4, 1566.65, 20741200, 663.7184;
14, 0.66, 1567.33, 1567.99, 20741200, 251.408484848;
15, 0.21, 1568.26, 1568.47, 20741200, 790.140952381;
16, 0.61, 1569.19, 1569.8, 20741200, 272.015737705;
17, 0.24, 1570.12, 1570.36, 20741200, 691.373333333;
18, 0.25, 1571.05, 1571.3, 20741200, 663.7184;
19, 0.29, 1571.98, 1572.27, 20741200, 572.171034483;
2, 0.67, 1556.17, 1556.84, 20741200, 247.656119403;
3, 0.29, 1557.1, 1557.39, 20741200, 572.171034482;
4, 0.22, 1558.03, 1558.25, 20741200, 754.225454545;
5, 0.29, 1558.96, 1559.25, 20741200, 572.171034483;
6, 0.23, 1559.89, 1560.12, 20741200, 721.433043479;
7, 0.22, 1560.82, 1561.04, 20741200, 754.225454545;
8, 0.28, 1561.75, 1562.03, 20741200, 592.605714286;
9, 0.23, 1562.68, 1562.91, 20741200, 721.433043478;
