rid, runtime, starttime, endtime, data, bandwidth;
0, 0.6315, 28.4332, 29.0647, 20773620, 263.165415677;
1, 0.4144, 28.8209, 29.2353, 20773620, 401.035135135;
10, 0.0226, 32.6023, 32.6249, 20773620, 7353.49380531;
11, 0.0226, 32.9706, 32.9932, 20773620, 7353.49380531;
12, 0.0214, 33.3469, 33.3683, 20773620, 7765.83925234;
13, 0.0218, 33.7235, 33.7453, 20773620, 7623.34678899;
14, 0.0264, 34.1036, 34.13, 20773620, 6295.03636364;
15, 0.0245, 34.4788, 34.5033, 20773620, 6783.22285714;
16, 0.0235, 34.8587, 34.8822, 20773620, 7071.8706383;
17, 0.0239, 35.2313, 35.2552, 20773620, 6953.51297071;
18, 0.0257, 35.6109, 35.6366, 20773620, 6466.49649805;
19, 0.022, 35.9845, 36.0065, 20773620, 7554.04363636;
2, 0.0252, 29.5895, 29.6147, 20773620, 6594.8;
3, 0.0245, 29.9608, 29.9853, 20773620, 6783.22285714;
4, 0.0246, 30.3404, 30.365, 20773620, 6755.64878049;
5, 0.0219, 30.7137, 30.7356, 20773620, 7588.5369863;
6, 0.0253, 31.0934, 31.1187, 20773620, 6568.73359684;
7, 0.024, 31.4671, 31.4911, 20773620, 6924.54;
8, 0.0233, 31.8437, 31.867, 20773620, 7132.57339056;
9, 0.0228, 32.2177, 32.2405, 20773620, 7288.98947369;
