rid, runtime, starttime, endtime, data, bandwidth;
0, 0.4013, 61.2595, 61.6608, 20934180, 417.327286319;
1, 0.3546, 61.8641, 62.2187, 20934180, 472.288324873;
10, 0.5269, 67.0626, 67.5895, 20934180, 317.846726134;
11, 0.3427, 67.7968, 68.1395, 20934180, 488.688182083;
12, 0.3369, 68.3454, 68.6823, 20934180, 497.101335708;
13, 0.515, 68.8871, 69.4021, 20934180, 325.191145631;
14, 0.3397, 69.6048, 69.9445, 20934180, 493.003944657;
15, 0.4262, 70.1485, 70.5747, 20934180, 392.945659315;
16, 0.3791, 70.7768, 71.1559, 20934180, 441.765866526;
17, 0.4192, 71.3522, 71.7714, 20934180, 399.507251908;
18, 0.389, 71.979, 72.368, 20934180, 430.522982005;
19, 0.4244, 72.5711, 72.9955, 20934180, 394.612252592;
2, 0.3959, 62.4082, 62.8041, 20934180, 423.019550392;
3, 0.3538, 63.0061, 63.3599, 20934180, 473.356246467;
4, 0.3125, 63.5659, 63.8784, 20934180, 535.915008;
5, 0.4359, 64.0816, 64.5175, 20934180, 384.201514109;
6, 0.4284, 64.7312, 65.1596, 20934180, 390.927731092;
7, 0.3779, 65.361, 65.7389, 20934180, 443.16866896;
8, 0.4093, 65.879, 66.2883, 20934180, 409.170388468;
9, 0.3852, 66.4743, 66.8595, 20934180, 434.770093458;
