rid, runtime, starttime, endtime, data, bandwidth;
0, 1.2304, 12.0258, 13.2562, 19730400, 128.286085826;
1, 0.0118, 13.3507, 13.3625, 19730400, 13376.5423729;
10, 0.0154, 14.4166, 14.432, 19730400, 10249.5584416;
11, 0.0137, 14.5384, 14.5521, 19730400, 11521.4014599;
12, 0.0142, 14.6499, 14.6641, 19730400, 11115.7183099;
13, 0.0136, 14.7718, 14.7854, 19730400, 11606.1176471;
14, 0.0136, 14.8824, 14.896, 19730400, 11606.1176471;
15, 0.1224, 15.0037, 15.1261, 19730400, 1289.56862745;
16, 0.1278, 15.1141, 15.2419, 19730400, 1235.07981221;
17, 0.0105, 15.2357, 15.2462, 19730400, 15032.6857143;
18, 0.1245, 15.3474, 15.4719, 19730400, 1267.81686747;
19, 0.0104, 15.4683, 15.4787, 19730400, 15177.2307692;
2, 0.0102, 13.4634, 13.4736, 19730400, 15474.8235294;
3, 0.01, 13.5863, 13.5963, 19730400, 15784.32;
4, 0.0108, 13.6982, 13.709, 19730400, 14615.1111111;
5, 0.0188, 13.8205, 13.8393, 19730400, 8395.91489362;
6, 0.0169, 13.9403, 13.9572, 19730400, 9339.83431953;
7, 0.0133, 14.0721, 14.0854, 19730400, 11867.9097744;
8, 0.014, 14.1832, 14.1972, 19730400, 11274.5142857;
9, 0.0105, 14.3051, 14.3156, 19730400, 15032.6857143;
