rid, runtime, starttime, endtime, data, bandwidth;
0, 3.612, 293.102, 296.714, 20431820, 45.253200443;
1, 0.00800000000004, 296.888, 296.896, 20431820, 20431.8199999;
10, 0.00599999999997, 304.913, 304.919, 20431820, 27242.4266668;
11, 0.00600000000003, 305.801, 305.807, 20431820, 27242.4266665;
12, 0.00599999999997, 306.689, 306.695, 20431820, 27242.4266668;
13, 0.00600000000003, 307.58, 307.586, 20431820, 27242.4266665;
14, 0.00599999999997, 308.47, 308.476, 20431820, 27242.4266668;
15, 0.00599999999997, 309.365, 309.371, 20431820, 27242.4266668;
16, 0.00599999999997, 310.254, 310.26, 20431820, 27242.4266668;
17, 0.005, 311.142, 311.147, 20431820, 32690.912;
18, 0.00600000000003, 312.03, 312.036, 20431820, 27242.4266665;
19, 0.005, 312.918, 312.923, 20431820, 32690.912;
2, 0.00700000000001, 297.782, 297.789, 20431820, 23350.6514286;
3, 0.00599999999997, 298.673, 298.679, 20431820, 27242.4266668;
4, 0.00600000000003, 299.566, 299.572, 20431820, 27242.4266665;
5, 0.00599999999997, 300.461, 300.467, 20431820, 27242.4266668;
6, 0.00600000000003, 301.351, 301.357, 20431820, 27242.4266665;
7, 0.00599999999997, 302.242, 302.248, 20431820, 27242.4266668;
8, 0.00600000000003, 303.133, 303.139, 20431820, 27242.4266665;
9, 0.005, 304.025, 304.03, 20431820, 32690.912;
