rid, runtime, starttime, endtime, data, bandwidth;
0, 1.224, 208.066, 209.29, 20215160, 132.125228758;
1, 0.00800000000001, 209.464, 209.472, 20215160, 20215.16;
10, 0.00800000000001, 217.108, 217.116, 20215160, 20215.16;
11, 0.00700000000001, 217.959, 217.966, 20215160, 23103.04;
12, 0.00700000000001, 218.804, 218.811, 20215160, 23103.04;
13, 0.00699999999998, 219.657, 219.664, 20215160, 23103.0400001;
14, 0.00700000000001, 220.507, 220.514, 20215160, 23103.04;
15, 0.00700000000001, 221.357, 221.364, 20215160, 23103.04;
16, 0.00700000000001, 222.204, 222.211, 20215160, 23103.04;
17, 0.00700000000001, 223.057, 223.064, 20215160, 23103.04;
18, 0.01, 223.903, 223.913, 20215160, 16172.128;
19, 0.00700000000001, 224.753, 224.76, 20215160, 23103.04;
2, 0.00800000000001, 210.313, 210.321, 20215160, 20215.16;
3, 0.00700000000001, 211.165, 211.172, 20215160, 23103.04;
4, 0.00800000000001, 212.011, 212.019, 20215160, 20215.16;
5, 0.00800000000001, 212.864, 212.872, 20215160, 20215.16;
6, 0.00800000000001, 213.714, 213.722, 20215160, 20215.16;
7, 0.00800000000001, 214.564, 214.572, 20215160, 20215.16;
8, 0.006, 215.411, 215.417, 20215160, 26953.5466667;
9, 0.006, 216.261, 216.267, 20215160, 26953.5466667;
