rid, runtime, starttime, endtime, data, bandwidth;
0, 0.140360116959, 1379511084.46, 1379511084.6, 1280200, 72.966596366;
1, 0.0113480091095, 1379511084.15, 1379511084.16, 1280200, 902.501919163;
2, 0.0115818977356, 1379511084.25, 1379511084.26, 1280200, 884.276500605;
3, 0.0111899375916, 1379511084.35, 1379511084.36, 1280200, 915.250859641;
4, 0.0111980438232, 1379511084.44, 1379511084.46, 1280200, 914.588312179;
5, 0.0112009048462, 1379511084.54, 1379511084.55, 1280200, 914.35470086;
6, 0.0111930370331, 1379511084.64, 1379511084.65, 1280200, 914.997419354;
7, 0.0111880302429, 1379511084.73, 1379511084.74, 1280200, 915.406892691;
8, 0.0111770629883, 1379511084.82, 1379511084.84, 1280200, 916.305116177;
9, 0.0112071037292, 1379511084.92, 1379511084.93, 1280200, 913.848952185;
