rid, runtime, starttime, endtime, data, bandwidth;
0, 1.027, 187.176, 188.203, 19620740, 152.839259981;
1, 0.00699999999998, 188.366, 188.373, 19620740, 22423.7028572;
10, 0.00700000000001, 196.237, 196.244, 19620740, 22423.7028571;
11, 0.006, 197.112, 197.118, 19620740, 26160.9866667;
12, 0.00700000000001, 197.987, 197.994, 19620740, 22423.7028571;
13, 0.006, 198.859, 198.865, 19620740, 26160.9866667;
14, 0.006, 199.728, 199.734, 19620740, 26160.9866667;
15, 0.00700000000001, 200.603, 200.61, 19620740, 22423.7028571;
16, 0.00700000000001, 201.478, 201.485, 19620740, 22423.7028571;
17, 0.00700000000001, 202.353, 202.36, 19620740, 22423.7028571;
18, 0.006, 203.228, 203.234, 19620740, 26160.9866667;
19, 0.00700000000001, 204.101, 204.108, 19620740, 22423.7028571;
2, 0.00699999999998, 189.241, 189.248, 19620740, 22423.7028572;
3, 0.00700000000001, 190.112, 190.119, 19620740, 22423.7028571;
4, 0.006, 190.989, 190.995, 19620740, 26160.9866667;
5, 0.006, 191.866, 191.872, 19620740, 26160.9866667;
6, 0.011, 192.74, 192.751, 19620740, 14269.6290909;
7, 0.00700000000001, 193.615, 193.622, 19620740, 22423.7028571;
8, 0.00700000000001, 194.489, 194.496, 19620740, 22423.7028571;
9, 0.00700000000001, 195.365, 195.372, 19620740, 22423.7028571;
