rid, runtime, starttime, endtime, data, bandwidth;
0, 0.461, 25.7931, 26.2541, 20242800, 351.285032538;
1, 0.0239, 26.4929, 26.5168, 20242800, 6775.83263598;
10, 0.0225, 29.8385, 29.861, 20242800, 7197.44;
11, 0.0228, 30.2288, 30.2516, 20242800, 7102.73684211;
12, 0.0227, 30.5899, 30.6126, 20242800, 7134.02643172;
13, 0.023, 30.9768, 30.9998, 20242800, 7040.97391304;
14, 0.0222, 31.3315, 31.3537, 20242800, 7294.7027027;
15, 0.0226, 31.7239, 31.7465, 20242800, 7165.59292035;
16, 0.024, 32.0855, 32.1095, 20242800, 6747.6;
17, 0.0229, 32.4747, 32.4976, 20242800, 7071.72052402;
18, 0.0222, 32.8338, 32.856, 20242800, 7294.7027027;
19, 0.0215, 33.2172, 33.2387, 20242800, 7532.20465116;
2, 0.025, 26.8571, 26.8821, 20242800, 6477.696;
3, 0.0224, 27.2391, 27.2615, 20242800, 7229.57142857;
4, 0.0221, 27.5958, 27.6179, 20242800, 7327.71040724;
5, 0.0222, 27.9866, 28.0088, 20242800, 7294.7027027;
6, 0.0218, 28.3496, 28.3714, 20242800, 7428.55045871;
7, 0.0229, 28.735, 28.7579, 20242800, 7071.72052402;
8, 0.0215, 29.0932, 29.1147, 20242800, 7532.20465116;
9, 0.0223, 29.482, 29.5043, 20242800, 7261.99103139;
