rid, runtime, starttime, endtime, data, bandwidth;
0, 3.2142, 20.672, 23.8862, 20242800, 50.383423558;
1, 0.0184, 24.073, 24.0914, 20242800, 8801.2173913;
10, 0.0158, 25.734, 25.7498, 20242800, 10249.5189873;
11, 0.0158, 25.9341, 25.9499, 20242800, 10249.5189873;
12, 0.017, 26.1073, 26.1243, 20242800, 9526.02352941;
13, 0.0157, 26.3074, 26.3231, 20242800, 10314.8025478;
14, 0.0178, 26.4801, 26.4979, 20242800, 9097.88764045;
15, 0.016, 26.6784, 26.6944, 20242800, 10121.4;
16, 0.0163, 26.8518, 26.8681, 20242800, 9935.11656442;
17, 0.0162, 27.0517, 27.0679, 20242800, 9996.44444444;
18, 0.0275, 27.2249, 27.2524, 20242800, 5888.81454545;
19, 0.0157, 27.4232, 27.4389, 20242800, 10314.8025478;
2, 0.0176, 24.2461, 24.2637, 20242800, 9201.27272727;
3, 0.0175, 24.4466, 24.4641, 20242800, 9253.85142857;
4, 0.0162, 24.6214, 24.6376, 20242800, 9996.44444445;
5, 0.0161, 24.8207, 24.8368, 20242800, 10058.5341615;
6, 0.0161, 24.9917, 25.0078, 20242800, 10058.5341615;
7, 0.0164, 25.1899, 25.2063, 20242800, 9874.53658537;
8, 0.0158, 25.3622, 25.378, 20242800, 10249.5189873;
9, 0.0161, 25.5611, 25.5772, 20242800, 10058.5341615;
