rid, runtime, starttime, endtime, data, bandwidth;
0, 9.029, 30.5988, 39.6278, 20734100, 18.3711152952;
1, 0.6196, 39.6745, 40.2941, 20734100, 267.709489994;
10, 0.6177, 44.0346, 44.6523, 20734100, 268.532944795;
11, 0.6365, 44.3952, 45.0317, 20734100, 260.601413983;
12, 0.636, 44.7563, 45.3923, 20734100, 260.806289308;
13, 1.74, 45.1123, 46.8523, 20734100, 95.3291954023;
14, 1.0931, 45.7604, 46.8535, 20734100, 151.745311499;
15, 0.6197, 46.8807, 47.5004, 20734100, 267.66629014;
16, 0.6294, 47.2427, 47.8721, 20734100, 263.541150302;
17, 1.7508, 47.5975, 49.3483, 20734100, 94.7411469043;
18, 0.6358, 49.3965, 50.0323, 20734100, 260.888329663;
19, 0.6326, 49.7476, 50.3802, 20734100, 262.208030351;
2, 0.9209, 40.027, 40.9479, 20734100, 180.120317081;
3, 0.6155, 40.6729, 41.2884, 20734100, 269.492770106;
4, 0.9086, 41.0233, 41.9319, 20734100, 182.558661677;
5, 0.2597, 41.6727, 41.9324, 20734100, 638.709279938;
6, 0.6295, 42.0222, 42.6517, 20734100, 263.499285147;
7, 0.6154, 42.3813, 42.9967, 20734100, 269.536561586;
8, 0.6164, 43.0314, 43.6478, 20734100, 269.099286178;
9, 0.6156, 43.3852, 44.0008, 20734100, 269.448992853;
